"id","name","animeCount","description","name_id"
"2702","межгрудной половой акт","593","Межгрудной половой акт — это сексуальный акт, выполняемый как прелюдия или как непроникающий секс, который включает стимуляцию мужского пениса женской грудью. Обычно этот сексуальный акт включает в себя то, что мужчина помещает свой пенис в женское декольте и совершает толчки между её грудями, в то время как грудь сжимается вокруг пениса для дополнительной стимуляции, и фелляция также может выполняться в сочетании.","mammary intercourse"
"3411","драки","582","По той или иной причине одной фракции приходится вымещать злость на каком-либо противнике посредством драки или битвы. Типичными примерами являются все аниме с тегом «бесконечные бессмысленные драки».","fighting"
"1760","бисёнэн","575","Бисёнэн — это японский термин, буквально означающий ""красивый юноша (мальчик)"", и описывает эстетику, которую можно найти в разных областях Восточной Азии: молодой человек с женственной красотой. Хотя красота выходит за пределы гендера, персонаж явно имеет мужское тело; его гендер не является неоднозначным, и персонаж не андрогинный.","bishounen"
"2202","инопланетянин","568","Это существо или создание родилось в мире, отличном от мира главных героев.","alien"
"2878","заговор","560","Шпионский триллер (или параноидальный триллер) — это поджанр триллера, который процветал в 1970-х годах в США (и находил отклик в других частях света) после ряда громких скандалов и споров (наиболее заметно Вьетнам, убийство президента Кеннеди, Чаппаквидик и Уотергейт), и который обнажил то, что многие люди считали тайными махинациями... [далее]","conspiracy"
"2651","абсурдистский юмор","554","Сюрреалистический юмор — это форма юмора, основанная на преднамеренном нарушении причинно-следственных связей, создающая события и поведение, которые явно нелогичны. Конструкции сюрреалистического юмора обычно включают в себя странные сопоставления, алогизмы, иррациональные или абсурдные ситуации и выражения бессмыслицы. Юмор возникает из-за опровержения ожиданий аудитории, так что удовольствие основано на... [далее]","absurdist humour"
"2707","внутренние снимки","545","Внутренние снимки — это изображения, которые показывают внутренности тела живого существа, либо через кожу, вроде как «рентген» в некотором роде, либо изнутри, как будто камера тоже была внутри. Это обычно используется во время сексуальных сцен, чтобы показать внутреннюю часть любой проникаемой области. Эти снимки могут происходить либо путём делания области тела прозрачной, либо путём отображения той же области снова, но изнутри.","internal shots"
"2857","антропоморфизм","544","Антропоморфизм — это приписывание исключительно человеческих характеристик нечеловеческим существам, неодушевленным объектам или природным или сверхъестественным явлениям. Если это животное или объект (за исключением ИИ), и оно говорит и/или делает другие человеческие вещи (одевается), то мы имеем дело с антропоморфизмом. Антропоморфизм больше склоняется к животноподобному виду по сравнению с юдзин, который больше склоняется к человекоподобному виду.","anthropomorphism"
"2641","исторический","538","Исторические аниме имеют явные связи с нашей историей и обычно происходят в определённую эпоху.","historical"
"2645","пилотируемый робот","537","Пилотируемые роботы, как следует из названия, — это роботы, которые не могут управлять собой; ими нужно управлять откуда-то, это может быть человек, сидящий внутри, или вариант дистанционного управления.","piloted robot"
"2854","хэнсин","531","Японское слово, означающее «трансформацию» (метаморфозу или маскировку). «Аниме хэнсин» — это любое аниме, где персонажи или их костюмы преобразуются, например, «Сейлор Мун». Хэнсин активирует особые силы персонажа и часто сопровождается сменой костюма. Часто смена одежды является единственным внешним признаком того, что персонаж изменился, и всё же никто, кажется, не замечает... [ещё]","henshin"
"1363","ощупывание груди","521","Ощупывание груди — это акт прикосновения, хватания или ласкания груди человека, обычно женской.","breast fondling"
"2901","бондаж","517","Бондаж — это использование ограничений для сексуального удовольствия вовлечённых сторон. Он может использоваться сам по себе, как в случае верёвочного бондажа и бондажа груди, или как часть сексуальной активности или БДСМ-активности.","bondage"
"308","детектив","500","Детектив — это следователь, обычно либо сотрудник правоохранительных органов, либо частный детектив, задачей которого является раскрытие преступлений и других тайн, таких как исчезновения, путём изучения и оценки улик и записей, чтобы разгадать загадку; в случае преступления это означало бы раскрытие личности и/или местонахождения преступника.","detective"
"4498","сердечное","481","История и её персонажи излучают хорошие вибрации — включают возвышенные чувства привязанности, такие как нежность, сочувствие и любовь, всё в одном пакете. Такой тип аниме, который оставляет внутри тёплое чувство, и вы не можете перестать улыбаться, пока смотрите его.","heart-warming"
"1973","кулинария","475","Кулинария — это процесс приготовления пищи с использованием тепла.","cooking"
"2900","дилдо - вибраторы","463","Это игрушки, которые используются для сексуального удовольствия.","dildos - vibrators"
"5935","девушки, умеющие драться","455","Женские персонажи в аниме очень искусны в каком-либо виде боевых искусств, фехтовании или стрельбе. У них также могут быть суперспособности.","ass-kicking girls"
"2885","закон и порядок","453","Где есть «богатство», там есть и преступники. Задача гражданских правоохранительных органов, то есть детективов, полиции или специальных отрядов, — держать под контролем беззаконную деятельность в реальном мире или в киберпространстве. Примечание: Не путайте это с военным присутствием.","law and order"
