id,name
4933,loyalty
5679,machiavellian intrigues
7600,macrophilia
2840,mafia
2079,magatama
2094,magic
4206,magical boy
4057,magical creatures
2503,magical girl
3931,magical realism
2773,magic circles
5543,magic school
5889,magic weapons
1969,mahjong
2072,maid
4343,main character dies
3040,male protagonist
7235,male rapes male
2718,male rape victim
2702,mammary intercourse
2798,manga
6493,manhua
5010,manhwa
4178,manipulated memories
3088,manipulation
2392,manipulative
3327,manly
5865,manly tears
4555,man the hell up!
5151,man vs nature
6393,Margaret Video Series
2765,Mars
2282,martial arts
1492,mask
5816,massacre
6083,master-servant relationship
3190,master-slave relation
2706,masturbation
7478,Matter of Britain
7324,maze
2638,mecha
4115,mecha musume
1572,mechanic
2745,mechanical tentacle
7305,mecha unit
8057,medieval European aesthetic
5890,medieval -- TO BE SPLIT AND DELETED
2654,medium awareness
7871,medium breasts
1286,megalomaniac
3328,melancholic
5862,melodrama
3837,memory transfer
4030,mental cinema
2037,mercenary
3622,merchandising show
1155,mermaid
7926,mesophilia
4159,Mexico
7868,microphilia
2833,Middle East
1018,middle school
36,military
5638,military is useless
2616,mina
5417,mind fuck
4281,mind games
6423,Minna no Uta
4501,Miracle Comic Prize
2394,mischievous
6877,misleading beginning
5943,misunderstanding
6573,MMF threesome
6843,MMM threesome
1730,mobile phone
6641,Moby-Dick
4618,mockumentary
798,moe
8018,Mongolia
3007,monologues
3869,mono no aware
5859,monster of the week
2659,Moon
5047,Moscow
2736,mother-daughter incest
2740,mother-son incest
4344,motivational anime
1590,motorcyclist
2759,motorsport
6448,mountaineering
6111,mountain-trip
2796,movie
7915,Mu
2768,Muay Thai
2779,multiple couples
2488,multiple personality disorder
3589,multiple protagonists - TO BE MOVED TO PARENT OR DELETED
6349,multi-segment episodes
6029,mundane made awesome
4316,murder
6710,Muromachi period
2794,music
1876,musical band
5368,mutation
2979,mutilation
6070,mystery
3597,mythology
7681,Nagano
2680,Nagasaki
4472,Nagoya dialect
1262,naive
2259,naked apron
2906,nanomachines
6620,Nara
6618,Nara period
1559,narcissistic
4614,narration
4952,nationalism
4626,nature strikes back
6540,navel fuck
635,navy
3342,Nazis
4611,nearly almighty protagonist
3183,necrophilia
4786,negotiator
2962,neo-noir
3075,nervous breakdown
2709,netorare
8097,netorase
2716,netori
2682,Nevada
2797,new
3013,Newtype Anime Award
2886,New Year`s Day
2684,New York
4217,nightmares
5751,Night on the Galactic Railroad
2572,ninja
3981,ninja maid
2995,nipple penetration
8038,nipple play
4542,no dialogue
7825,NO ENGLISH SUBS AVAILABLE
5013,Noise
3865,noitaminA
4149,non-blood-related siblings -- DO NOT USE -- TO BE DELETED
8144,non-chronological release
3934,non-linear
520,nopan
6090,Norse mythology
6762,North Korean production
3992,nostalgia
363,nostril hook
2799,novel
4277,nuclear weapons
2749,nudity
1403,nun
2491,nurse
7345,nurse office
2889,nyotaimori
1634,obsessive -- DO NOT USE -- TO BE SPLIT AND DELETED
3921,occult
3170,occupation and career
3618,ocean
7082,Oceania
5284,ocean world
4042,odd jobs
944,oedipus complex
2603,office lady
3696,off-model animation
2343,ojou-sama laugh
2681,Okinawa
3932,older female younger male
4677,Olympics
4722,omiai
6115,omimai
3573,ominous future
6164,onahole
6743,One Thousand and One Nights
7927,one vs army
3592,only makes sense with original work knowledge
4582,only the beginning
1679,onmyoudou
6350,Oofuji Noburou Award
4176,OP and ED sung by cast
3148,open-ended
4947,oppai pillow
4024,optic camouflage
2964,OP variety
4004,organic mecha
4237,organic spaceship
6849,organism cloning
5902,organ trafficking
7399,orgasm denial
3443,orgy
5907,origami
4363,original in English
1719,orphan
6947,orphanage
2677,Osaka
1133,otaku
6030,otaku culture
2660,other planet
4049,outdoor sex
5046,out-of-body experience
5818,out-of-place artefact
4874,overcoming adversity
4898,overconfident
2419,overeater
3800,oyakodon
4287,pachinko
5407,Pacific Ocean
3432,pacifism
5030,pact
165,painting
3199,Pakistan
6528,palace
5769,panels that require pausing
2826,pantsu
2698,pantyjob
7325,panty theft
6076,paparazzi
2823,paper clothes
4226,paradise lost
2838,parallel world
5700,paramilitary
2214,paranoia
7203,para para
2776,parasite
2910,parental abandonment
4669,parenting
2763,Paris
2655,parody
3086,parricide
972,part-time worker
2625,past
456,pegasus
4020,pegging
5485,penis jokes
2793,performance
3758,performing in a concert
6017,perpetual ongoing
4530,Persian mythology
3648,person from the past
6401,Peru
920,perverted
975,pessimist
1282,pet
7633,petplay
4762,philosopher`s stone
998,phoenix
3196,photographic backgrounds
1651,photography
2439,PIC NEEDS IMPROVEMENT
7469,picture book
6039,piggyback ride
5804,piledriver
6507,pillory
3012,pillow fight
2645,piloted robot
1700,pirate
